Área de Avaliação	Código da IES	Nome da IES*	Categoria Administrativa	Modalidade de Ensino	Sigla da UF** 	Nº  de Concluintes Participantes	Nota Padronizada - FG	Nota Padronizada - CE	Conceito Enade (Contínuo)	Conceito Enade (Faixa)	 Proporção de Concluintes participantes com nota no Enem	 Nota Bruta - IDD	 IDD (Contínuo)	 IDD (Faixa)
ENGENHARIA FLORESTAL	4785	INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA	Pública Federal	Educação Presencial	RO	18	3,745282403	1,667789699	2,187162875	3	0,944444444	0,201565352	2,620570485	3
ENFERMAGEM	4411	CENTRO UNIVERSITÁRIO ESTÁCIO DE JI-PARANÁ	Privada com fins lucrativos	Educação Presencial	RO	5	2,771816291	2,940341917	2,89821051	3	1	0,934032893	2,76608141	3
ENGENHARIA CIVIL	4411	CENTRO UNIVERSITÁRIO ESTÁCIO DE JI-PARANÁ	Privada com fins lucrativos	Educação Presencial	RO	29	1,639443436	1,567821437	1,585726937	2	0,827586207	-2,354161049	1,576772535	2
ENGENHARIA AMBIENTAL	4411	CENTRO UNIVERSITÁRIO ESTÁCIO DE JI-PARANÁ	Privada com fins lucrativos	Educação Presencial	RO	0				SC				SC
ODONTOLOGIA	4411	CENTRO UNIVERSITÁRIO ESTÁCIO DE JI-PARANÁ	Privada com fins lucrativos	Educação Presencial	RO	22	1,801552106	0,710882278	0,983549735	2	0,909090909	-5,806044048	0,934334179	1
BIOMEDICINA	4411	CENTRO UNIVERSITÁRIO ESTÁCIO DE JI-PARANÁ	Privada com fins lucrativos	Educação Presencial	RO	17	1,771184647	0,979562686	1,177468176	2	0,764705882	-3,69292625	1,463167043	2
NUTRIÇÃO	4411	CENTRO UNIVERSITÁRIO ESTÁCIO DE JI-PARANÁ	Privada com fins lucrativos	Educação Presencial	RO	30	2,009737454	1,976232285	1,984608577	3	0,633333333	-2,918150329	1,326344214	2
ENGENHARIA AMBIENTAL	699	FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA	Pública Federal	Educação Presencial	RO	16	2,071962574	1,99002596	2,010510113	3	0,9375	0,387033848	2,708785861	3
BIOMEDICINA	450	Centro Universitário São Lucas Ji-Paraná	Comunitária/Confessional	Educação Presencial	RO	26	0,825075892	1,943989425	1,664261042	2	0,884615385	1,313382823	2,576077691	3
MEDICINA VETERINÁRIA	450	Centro Universitário São Lucas Ji-Paraná	Comunitária/Confessional	Educação Presencial	RO	16	1,671523637	1,268072875	1,368935566	2	0,875	-1,120085804	1,97499137	3
AGRONOMIA	450	Centro Universitário São Lucas Ji-Paraná	Comunitária/Confessional	Educação Presencial	RO	23	1,018092888	2,012150316	1,763635959	2	0,826086957	-0,626780049	2,291421136	3
ARQUITETURA E URBANISMO	450	Centro Universitário São Lucas Ji-Paraná	Comunitária/Confessional	Educação Presencial	RO	13	0,897558073	0,274034649	0,429915505	1	0,923076923	-4,91247647	0,516180564	1
ENFERMAGEM	450	Centro Universitário São Lucas Ji-Paraná	Comunitária/Confessional	Educação Presencial	RO	26	2,383607082	2,228652032	2,267390794	3	0,961538462	1,436643092	2,89167038	3
FARMÁCIA	450	Centro Universitário São Lucas Ji-Paraná	Comunitária/Confessional	Educação Presencial	RO	23	1,96482407	2,375615073	2,272917322	3	0,956521739	-0,48094716	2,238683758	3
FARMÁCIA	2779	FACULDADE DE INFORMÁTICA DE OURO PRETO DO OESTE	Privada sem fins lucrativos	Educação Presencial	RO	13	0	0,369380435	0,277035326	1	0,692307692	-2,502227152	1,690522998	2
ENFERMAGEM	2779	FACULDADE DE INFORMÁTICA DE OURO PRETO DO OESTE	Privada sem fins lucrativos	Educação Presencial	RO	9	1,825590738	0	0,456397684	1	0,444444444	-2,768872811	1,840823393	2
ENFERMAGEM	1403	Faculdade Estácio de Pimenta Bueno	Privada com fins lucrativos	Educação Presencial	RO	12	2,082163965	1,965843797	1,994923839	3	0,75	-2,614573483	1,879378707	2
NUTRIÇÃO	1403	Faculdade Estácio de Pimenta Bueno	Privada com fins lucrativos	Educação Presencial	RO	11	1,342835131	1,189798438	1,228057611	2	0,363636364	-0,93029308	2,188925415	3
ENGENHARIA CIVIL	699	FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA	Pública Federal	Educação Presencial	RO	25	3,284210526	3,590638907	3,514031812	4	1	3,482429245	3,144341116	4
ENGENHARIA DE COMPUTAÇÃO I	19943	Faculdade Sapiens	Privada com fins lucrativos	Educação Presencial	RO	12	2,551558698	1,82334231	2,005396407	3	0,916666667	-0,398576044	2,139382361	3
ENGENHARIA DE PRODUÇÃO	19943	Faculdade Sapiens	Privada com fins lucrativos	Educação Presencial	RO	0				SC				SC
BIOMEDICINA	18671	FACULDADE DA AMAZÔNIA DE PORTO VELHO	Privada com fins lucrativos	Educação Presencial	RO	14	1,402687657	1,21254955	1,260084077	2	0,642857143	-2,126935919	1,81128924	2
ENGENHARIA CIVIL	12758	Faculdade Unesc-Unama	Privada com fins lucrativos	Educação Presencial	RO	0				SC				SC
ENGENHARIA DE PRODUÇÃO	12758	Faculdade Unesc-Unama	Privada com fins lucrativos	Educação Presencial	RO	0				SC				SC
ENGENHARIA MECÂNICA	12758	Faculdade Unesc-Unama	Privada com fins lucrativos	Educação Presencial	RO	15	1,851913202	1,195152339	1,359342555	2	0,533333333	-3,443065853	0,973151507	2
ENGENHARIA DE COMPUTAÇÃO I	12758	Faculdade Unesc-Unama	Privada com fins lucrativos	Educação Presencial	RO	11	2,787173089	1,916328725	2,134039816	3	0,909090909	-0,455221609	2,116692812	3
ENGENHARIA DE CONTROLE E AUTOMAÇÃO	4785	INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA	Pública Federal	Educação Presencial	RO	16	3,485071214	2,429937064	2,693720601	3	0,8125	1,1662431	2,875596737	3
ENGENHARIA CIVIL	4785	INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA	Pública Federal	Educação Presencial	RO	12	2,495822891	2,266452171	2,323794851	3	0,833333333	-0,300993687	2,12820419	3
ENGENHARIA MECÂNICA	2058	FACULDADE METROPOLITANA	Privada com fins lucrativos	Educação Presencial	RO	10	1,141295345	0,505606524	0,664528729	1	0,7	-1,190378812	1,84976054	2
ENGENHARIA ELÉTRICA	2058	FACULDADE METROPOLITANA	Privada com fins lucrativos	Educação Presencial	RO	15	2,264421998	1,279411765	1,525664323	2	0,866666667	0,560176421	2,854201469	3
ENGENHARIA DE PRODUÇÃO	2058	FACULDADE METROPOLITANA	Privada com fins lucrativos	Educação Presencial	RO	4	1,948280354	1,289208633	1,453976563	2	1	-0,551232646	2,075572925	3
ODONTOLOGIA	2058	FACULDADE METROPOLITANA	Privada com fins lucrativos	Educação Presencial	RO	14	1,570107992	2,356637382	2,160005034	3	0,714285714	2,969566336	3,270528762	4
ARQUITETURA E URBANISMO	1728	FACULDADE INTERAMERICANA DE PORTO VELHO	Privada com fins lucrativos	Educação Presencial	RO	0				SC				SC
ENFERMAGEM	1728	FACULDADE INTERAMERICANA DE PORTO VELHO	Privada com fins lucrativos	Educação Presencial	RO	19	1,999728909	2,187102146	2,140258837	3	0,736842105	-1,870059615	2,065412994	3
ENGENHARIA CIVIL	1515	FACULDADE DE EDUCAÇÃO DE PORTO VELHO	Privada com fins lucrativos	Educação Presencial	RO	18	1,948621554	1,279041397	1,446436437	2	0,388888889	-2,323106761	1,585112974	2
ENGENHARIA ELÉTRICA	1515	FACULDADE DE EDUCAÇÃO DE PORTO VELHO	Privada com fins lucrativos	Educação Presencial	RO	9	2,300037411	0,330065359	0,822558372	1	0,555555556	-2,350831175	1,427144108	2
ODONTOLOGIA	1515	FACULDADE DE EDUCAÇÃO DE PORTO VELHO	Privada com fins lucrativos	Educação Presencial	RO	21	1,662590458	2,522400715	2,307448151	3	0,904761905	0,166305935	2,524260243	3
ENGENHARIA DE PRODUÇÃO	1515	FACULDADE DE EDUCAÇÃO DE PORTO VELHO	Privada com fins lucrativos	Educação Presencial	RO	3	0,648775404	0	0,162193851	1	0,666666667	-0,573230978	2,063505049	3
FARMÁCIA	1414	Centro Universitário São Lucas Porto Velho	Privada com fins lucrativos	Educação Presencial	RO	94	1,477135161	1,429304325	1,441262034	2	0,744680851	-2,176965199	1,77873237	2
ENGENHARIA ELÉTRICA	1414	Centro Universitário São Lucas Porto Velho	Privada com fins lucrativos	Educação Presencial	RO	34	2,23885918	1,311418685	1,543278809	2	0,617647059	-0,180267154	2,491215314	3
MEDICINA	1414	Centro Universitário São Lucas Porto Velho	Privada com fins lucrativos	Educação Presencial	RO	163	1,819867771	2,360137854	2,225070333	3	0,926380368	0,894848347	2,601058078	3
ARQUITETURA E URBANISMO	1414	Centro Universitário São Lucas Porto Velho	Privada com fins lucrativos	Educação Presencial	RO	48	2,000847861	1,720162569	1,790333892	2	0,75	-0,324837121	2,513292229	3
NUTRIÇÃO	1414	Centro Universitário São Lucas Porto Velho	Privada com fins lucrativos	Educação Presencial	RO	24	3,190594882	3,353314582	3,312634657	4	0,75	0,699415968	2,896097114	3
ENGENHARIA DE PRODUÇÃO	1414	Centro Universitário São Lucas Porto Velho	Privada com fins lucrativos	Educação Presencial	RO	9	1,203172949	1,916354916	1,738059424	2	0,888888889	-0,390580322	2,163703807	3
FONOAUDIOLOGIA	1414	Centro Universitário São Lucas Porto Velho	Privada com fins lucrativos	Educação Presencial	RO	18	1,868128883	2,233890809	2,142450328	3	1	0,854098407	2,836938253	3
BIOMEDICINA	1414	Centro Universitário São Lucas Porto Velho	Privada com fins lucrativos	Educação Presencial	RO	46	2,211089169	2,065292728	2,101741838	3	0,956521739	0,964538214	2,498528968	3
FISIOTERAPIA	1414	Centro Universitário São Lucas Porto Velho	Privada com fins lucrativos	Educação Presencial	RO	13	2,431679972	2,321492335	2,349039245	3	0,846153846	-0,479119547	2,374997574	3
ODONTOLOGIA	1414	Centro Universitário São Lucas Porto Velho	Privada com fins lucrativos	Educação Presencial	RO	45	2,331915346	1,934406753	2,033783901	3	0,822222222	0,950588745	2,733047686	3
TECNOLOGIA EM ESTÉTICA E COSMÉTICA	1414	Centro Universitário São Lucas Porto Velho	Privada com fins lucrativos	Educação Presencial	RO	21	1,498537082	2,755175681	2,441016032	3	0,285714286	2,527821589	3,300497483	4
ENGENHARIA CIVIL	1414	Centro Universitário São Lucas Porto Velho	Privada com fins lucrativos	Educação Presencial	RO	47	2,427078334	1,930141332	2,054375582	3	0,723404255	-0,264276256	2,138065614	3
ENFERMAGEM	1414	Centro Universitário São Lucas Porto Velho	Privada com fins lucrativos	Educação Presencial	RO	76	2,213636474	2,173801443	2,183760201	3	0,881578947	1,295322371	2,856358077	3
MEDICINA	1087	CENTRO UNIVERSITÁRIO APARÍCIO CARVALHO	Privada sem fins lucrativos	Educação Presencial	RO	84	1,829331952	2,249598309	2,144531719	3	0,952380952	1,657980373	2,85181522	3
ENFERMAGEM	1087	CENTRO UNIVERSITÁRIO APARÍCIO CARVALHO	Privada sem fins lucrativos	Educação Presencial	RO	9	3,607158187	3,161429146	3,272861406	4	1	2,89781188	3,256777742	4
MEDICINA VETERINÁRIA	1087	CENTRO UNIVERSITÁRIO APARÍCIO CARVALHO	Privada sem fins lucrativos	Educação Presencial	RO	41	2,144999826	2,43729931	2,364224439	3	0,926829268	0,43512312	2,482119796	3
FARMÁCIA	1087	CENTRO UNIVERSITÁRIO APARÍCIO CARVALHO	Privada sem fins lucrativos	Educação Presencial	RO	15	1,90463179	2,212038972	2,135187176	3	1	0,022414426	2,375192836	3
BIOMEDICINA	1087	CENTRO UNIVERSITÁRIO APARÍCIO CARVALHO	Privada sem fins lucrativos	Educação Presencial	RO	5	3,871494167	2,512177051	2,85200633	3	1	2,365017425	2,809857774	3
FISIOTERAPIA	1087	CENTRO UNIVERSITÁRIO APARÍCIO CARVALHO	Privada sem fins lucrativos	Educação Presencial	RO	12	2,846009741	2,841324887	2,8424961	3	1	3,024428108	3,353312359	4
AGRONOMIA	1087	CENTRO UNIVERSITÁRIO APARÍCIO CARVALHO	Privada sem fins lucrativos	Educação Presencial	RO	15	2,836096919	2,525589145	2,603216089	3	0,866666667	1,343504717	2,885339777	3
ODONTOLOGIA	1087	CENTRO UNIVERSITÁRIO APARÍCIO CARVALHO	Privada sem fins lucrativos	Educação Presencial	RO	10	2,21085444	3,0953568	2,87423121	3	0,6	3,007688818	3,280677519	4
NUTRIÇÃO	1087	CENTRO UNIVERSITÁRIO APARÍCIO CARVALHO	Privada sem fins lucrativos	Educação Presencial	RO	5	2,916550349	1,335824838	1,731006216	2	0,8	0,412439509	2,771570819	3
ZOOTECNIA	1087	CENTRO UNIVERSITÁRIO APARÍCIO CARVALHO	Privada sem fins lucrativos	Educação Presencial	RO	6	1,624493927	2,134889754	2,007290797	3	0,833333333	-0,552159915	2,281163618	3
ARQUITETURA E URBANISMO	1087	CENTRO UNIVERSITÁRIO APARÍCIO CARVALHO	Privada sem fins lucrativos	Educação Presencial	RO	10	1,933964908	2,105273592	2,062446421	3	1	2,169567032	3,599167392	4
ENGENHARIA ELÉTRICA	699	FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA	Pública Federal	Educação Presencial	RO	27	2,663174959	2,513616558	2,551006158	3	0,925925926	-0,135757396	2,513035243	3
ENFERMAGEM	699	FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA	Pública Federal	Educação Presencial	RO	15	4,437547463	3,809321132	3,966377715	5	1	3,730255501	3,464783346	4
MEDICINA	699	FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA	Pública Federal	Educação Presencial	RO	14	3,915095921	3,320634883	3,469250143	4	1	-0,257903135	2,222276088	3
ZOOTECNIA	699	FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA	Pública Federal	Educação Presencial	RO	18	0,468623482	0,956621992	0,834622364	1	1	-2,0868803	1,69703816	2
MEDICINA VETERINÁRIA	699	FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA	Pública Federal	Educação Presencial	RO	37	2,469767354	2,822031869	2,73396574	3	1	0,777666448	2,593817624	3
FARMÁCIA	2754	Faculdade Estácio São Paulo de Rondônia	Privada com fins lucrativos	Educação Presencial	RO	19	1,797252764	1,763374085	1,771843755	2	0,947368421	-2,955829181	1,567508456	2
FISIOTERAPIA	2754	Faculdade Estácio São Paulo de Rondônia	Privada com fins lucrativos	Educação Presencial	RO	11	2,104567594	2,022107923	2,042722841	3	0,909090909	-2,669036931	1,763494958	2
ENFERMAGEM	2754	Faculdade Estácio São Paulo de Rondônia	Privada com fins lucrativos	Educação Presencial	RO	19	2,272774666	2,153500371	2,183318945	3	0,947368421	-1,456094512	2,168851904	3
ENGENHARIA CIVIL	2754	Faculdade Estácio São Paulo de Rondônia	Privada com fins lucrativos	Educação Presencial	RO	15	1,939849624	1,591338758	1,678466475	2	0,8	-2,604498177	1,509537968	2
ENGENHARIA AMBIENTAL	2754	Faculdade Estácio São Paulo de Rondônia	Privada com fins lucrativos	Educação Presencial	RO	0				SC				SC
ODONTOLOGIA	2754	Faculdade Estácio São Paulo de Rondônia	Privada com fins lucrativos	Educação Presencial	RO	17	2,130237649	1,887796729	1,948406959	3	1	-2,058761677	1,931915019	2
ENGENHARIA CIVIL	2022	FACULDADE DE ROLIM DE MOURA	Privada com fins lucrativos	Educação Presencial	RO	14	1,687253849	1,388361876	1,463084869	2	1	-2,309956296	1,588644874	2
AGRONOMIA	699	FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA	Pública Federal	Educação Presencial	RO	31	2,884502216	3,10713271	3,051475087	4	0,967741935	2,684843763	3,289670296	4
ENGENHARIA FLORESTAL	699	FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA	Pública Federal	Educação Presencial	RO	20	3,086444662	2,024801742	2,290212472	3	1	3,592578076	4,065015405	5
ARQUITETURA E URBANISMO	4785	INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA	Pública Federal	Educação Presencial	RO	26	1,253110083	2,246027268	1,997797972	3	0,807692308	-0,600520534	2,393280493	3
ODONTOLOGIA	19172	Faculdades Integradas Aparício Carvalho Vilhena	Privada com fins lucrativos	Educação Presencial	RO	23	0,950725827	2,087430946	1,803254666	2	0,565217391	2,183084065	3,061155791	4
ENGENHARIA MECÂNICA	19172	Faculdades Integradas Aparício Carvalho Vilhena	Privada com fins lucrativos	Educação Presencial	RO	3	3,052012589	2,151999094	2,377002468	3	0,333333333			SC
ENGENHARIA ELÉTRICA	19172	Faculdades Integradas Aparício Carvalho Vilhena	Privada com fins lucrativos	Educação Presencial	RO	2	3,286195286	1,330882353	1,819710586	2	1	-0,439378822	2,364191526	3
ENFERMAGEM	19172	Faculdades Integradas Aparício Carvalho Vilhena	Privada com fins lucrativos	Educação Presencial	RO	42	1,852220896	2,159527356	2,082700741	3	0,80952381	-0,070209069	2,515147953	3
ENGENHARIA CIVIL	19172	Faculdades Integradas Aparício Carvalho Vilhena	Privada com fins lucrativos	Educação Presencial	RO	11	2,026657553	2,422705229	2,32369331	3	1	-0,737518071	2,010964179	3
FISIOTERAPIA	19172	Faculdades Integradas Aparício Carvalho Vilhena	Privada com fins lucrativos	Educação Presencial	RO	7	1,79136113	1,707989733	1,728832582	2	0,857142857	-5,090971065	1,087205036	2
AGRONOMIA	18062	Faculdade Marechal Rondon	Privada sem fins lucrativos	Educação Presencial	RO	18	0,847569194	3,038363882	2,49066521	3	0,722222222	3,041568833	3,397200776	4
ENGENHARIA CIVIL	18062	Faculdade Marechal Rondon	Privada sem fins lucrativos	Educação Presencial	RO	3	3,116123642	1,822117323	2,145618903	3	1	1,927479147	2,726718703	3
